topic,actor,level,action,activity,activity_id
appliances,downstream,high_cog,borrow an energy auditing kit to measure household appliances,Students examine recommendations to borrow an energy auditing kit to measure household appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_OS29
appliances,downstream,low_cog,use smart systems for switching off home appliances not in use,Students examine recommendations to use smart systems for switching off home appliances not in use and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_RV43
appliances,midstream,high_cog,plan bulk-buy schemes for energy-efficient home appliances,Students examine recommendations to plan bulk-buy schemes for energy-efficient home appliances and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NV89
appliances,midstream,low_cog,manage appliance schedules with community energy networks,Students examine recommendations to manage appliance schedules with community energy networks and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ES88
appliances,upstream,high_cog,add estimated running cost labels to appliance energy ratings,Students examine recommendations to add estimated running cost labels to appliance energy ratings and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_IC79
appliances,upstream,low_cog,make energy-efficient home appliances the lowest cost option,Students examine recommendations to make energy-efficient home appliances the lowest cost option and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_GJ82
clothes_dryer,downstream,high_cog,have a clothesline for air drying clothes on warmer days,Students examine recommendations to have a clothesline for air drying clothes on warmer days and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_DN06
clothes_dryer,downstream,low_cog,replace household clothes dryers with suitable clotheslines,Students examine recommendations to replace household clothes dryers with suitable clotheslines and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UL96
clothes_dryer,midstream,high_cog,target rules that ban clothes drying in publicly visible areas,Students examine recommendations to target rules that ban clothes drying in publicly visible areas and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_II96
clothes_dryer,midstream,low_cog,invest in shared clothes dryers for neighbourhood hubs,Students examine recommendations to invest in shared clothes dryers for neighbourhood hubs and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UG45
clothes_dryer,upstream,high_cog,offer incentives for making more heat pump clothes dryers,Students examine recommendations to offer incentives for making more heat pump clothes dryers and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YB47
clothes_dryer,upstream,low_cog,phase out sales of all clothes dryer machines for private use,Students examine recommendations to phase out sales of all clothes dryer machines for private use and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_LM10
clothing,downstream,high_cog,care for clothes using labels that detail proper care practices,Students examine recommendations to care for clothes using labels that detail proper care practices and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YY54
clothing,downstream,low_cog,only purchase second-hand clothing with high-quality fabric,Students examine recommendations to only purchase second-hand clothing with high-quality fabric and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_OI93
clothing,midstream,high_cog,target community activation with pop-up clothing donation bins,Students examine recommendations to target community activation with pop-up clothing donation bins and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_FK75
clothing,midstream,low_cog,broadcast two-way delivery services for clothes mending groups,Students examine recommendations to broadcast two-way delivery services for clothes mending groups and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_VG05
clothing,upstream,high_cog,ensure clothing repair services have funding to remain available,Students examine recommendations to ensure clothing repair services have funding to remain available and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_RQ13
clothing,upstream,low_cog,hold clothing wholesalers responsible for disposal management,Students examine recommendations to hold clothing wholesalers responsible for disposal management and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ME52
diets,downstream,high_cog,find a collection of healthy plant-based recipes for easy meals,Students examine recommendations to find a collection of healthy plant-based recipes for easy meals and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YT58
diets,downstream,low_cog,adopt a plant-based diet that prioritises unrefined produce,Students examine recommendations to adopt a plant-based diet that prioritises unrefined produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NY62
